id,version_active,file_bytes,cte_name,model,file_filter,odoo_model/id,description,code,version,sga_file_var_ids/id,sga_file_var_ids/adaia_type,sga_file_var_ids/name,sga_file_var_ids/odoo_name/id,sga_file_var_ids/fillchar,sga_file_var_ids/en,sga_file_var_ids/st,sga_file_var_ids/length_dec,sga_file_var_ids/length_int,sga_file_var_ids/length,sga_file_var_ids/odoo_model/id,sga_file_var_ids/required,sga_file_var_ids/sequence,sga_file_var_ids/default
,,,,,,,,,,__export__.sgavar_file_var_761_806aa93c,Numérico,POSCOD,base.field_res_partner_zip, ,260,255,0,6,6,stock_move_selection_wzd.model_res_partner,False,11,
,,,,,,,,,,__export__.sgavar_file_var_762_35543c0e,Related-Alfanumérico,PAISCOD,base.field_res_partner_country_id, ,264,261,0,4,4,stock_move_selection_wzd.model_res_partner,False,12,code
,,,,,,,,,,__export__.sgavar_file_var_763_b32066fc,Alfanumerico,PERAJU,, ,265,265,0,1,1,stock_move_selection_wzd.model_res_partner,False,13,N
,,,,,,,,,,__export__.sgavar_file_var_764_865f58dc,Alfanumerico,CNTEXPTIP,, ,269,266,0,4,4,stock_move_selection_wzd.model_res_partner,False,14,PL
,,,,,,,,,,__export__.sgavar_file_var_777_b3a0dcc1,Alfanumerico,NUMTELSMS,base.field_res_partner_mobile, ,349,270,0,80,80,stock_move_selection_wzd.model_res_partner,False,15,
,,,,,,,,,,__export__.sgavar_file_var_778_a21ba7eb,Alfanumerico,NUMTELFAX,partner_fax.field_res_partner_fax, ,429,350,0,80,80,stock_move_selection_wzd.model_res_partner,False,16,
,,,,,,,,,,__export__.sgavar_file_var_779_16b74d56,Alfanumerico,EMAILD,base.field_res_partner_email, ,509,430,0,80,80,stock_move_selection_wzd.model_res_partner,False,17,
,,,,,,,,,,__export__.sgavar_file_var_780_49146952,Alfanumerico,CNTEXPTIPCAJ,, ,513,510,0,4,4,stock_move_selection_wzd.model_res_partner,False,18,
,,,,,,,,,,__export__.sgavar_file_var_781_c33fcb8b,Alfanumerico,POSCODINT,, ,521,514,0,8,8,stock_move_selection_wzd.model_res_partner,False,19,
,,,,,,,,,,__export__.sgavar_file_var_783_a03f4f27,Alfanumerico,ACCION,, ,6,5,0,2,2,stock_move_selection_wzd.model_res_partner,True,1,MO
